Act Name,Jurisdiction,Category,Procedural Element,Description,Section,Relevancy Scale
Canada National Marine Conservation Areas Act,Federal,Act,Permits and authorizations,Fishing licences,15,2
Canada National Marine Conservation Areas Act,Federal,Act,Fishing licences,"(2) A fishing licence issued under the Fisheries Act is deemed to be a permit issued under this Act to carry out the activities permitted by the licence, subject to regulations made under subsection 16(1) on the recommendation of the Minister and the Minister of Fisheries and Oceans.",15,2
Canada National Marine Conservation Areas Act,Federal,Act,Superintendent may not amend,"(3) For greater certainty, the superintendent of a marine conservation area may not amend, suspend or revoke a fishing licence issued under the Fisheries Act.",15,2
Canada National Marine Conservation Areas Act,Federal,Act,Regulations,(a) for the protection of ecosystems and the elements of ecosystems;,16,4
Canada National Marine Conservation Areas Act,Federal,Act,Regulations,(c) for the management and control of renewable resource harvesting activities;,16,2
Canada National Marine Conservation Areas Act,Federal,Act,Regulations,(d) respecting the delimitation of zones within marine conservation areas;,16,3
Canada National Marine Conservation Areas Act,Federal,Act,Regulations,(e) restricting or prohibiting activities or regulating the use of facilities in marine conservation areas or in any zones;,16,3
Canada National Marine Conservation Areas Act,Federal,Act,Regulations,"(j) for the control of the flight of aircraft to prevent danger or disturbances to wildlife and wildlife habitat, and respecting the takeoff, landing and taxiing of aircraft;",16,3
Canada National Marine Conservation Areas Act,Federal,Act,Regulations,"(l) authorizing the disposal of waste or other matter by persons holding permits for that purpose, in the manner and to the extent specified in the regulations, in waters of a marine conservation area to which subsection 125(1) of the Canadian Environmental Protection Act, 1999 does not apply;",16,4
Canada National Marine Conservation Areas Act,Federal,Act,Search and rescue operations,Fisheries and aquaculture,16,2
Canada National Marine Conservation Areas Act,Federal,Act,Fisheries and aquaculture,(2) Regulations under this section respecting fisheries management and conservation or restricting or prohibiting fishing or aquaculture may be made only on the recommendation of the Minister and the Minister of Fisheries and Oceans.,16,2
Canada National Marine Conservation Areas Act,Federal,Act,Conflicts,"(5) Regulations referred to in subsection (2), (3) or (4) prevail over regulations made under the Fisheries Act, the Coastal Fisheries Protection Act, the Canada Shipping Act, 2001, the Arctic Waters Pollution Prevention Act, the Canadian Navigable Waters Act, the Aeronautics Act or the Wrecked, Abandoned or Hazardous Vessels Act to the extent of any conflict between them.",16,2
Canada National Marine Conservation Areas Act,Federal,Act,Limitations must be specified,Right of passage,20,2
Canada National Marine Conservation Areas Act,Federal,Act,Deeming - second and subsequent offence,"(2.2) For the purposes of this section, a conviction for a particular offence under this Act is deemed to be a conviction for a second or subsequent offence if the court is satisfied that the offender has been previously convicted - under any Act of Parliament, or any Act of the legislature of a province, that relates to environmental or wildlife protection or conservation, or the protection of cultural, historical or archaeological resources - of a substantially similar offence.",24,3
Canada National Marine Conservation Areas Act,Federal,Act,Aggravating factors,"(h) the offender has a history of non-compliance with federal or provincial legislation that relates to environmental or wildlife protection or conservation or the protection of cultural, historical or archaeological resources; and",24.7,3
Canada National Marine Conservation Areas Act,Federal,Act,Application of fines,"26.1 (1) All fines received by the Receiver General in respect of the commission of an offence under this Act, other than fines collected under the Contraventions Act, are to be credited to the Environmental Damages Fund, an account in the accounts of Canada, and used for purposes related to protecting, conserving or restoring marine conservation areas or for administering that Fund.",26.1,4
Canada National Marine Conservation Areas Act,Federal,Act,Recommendations of court,(2) The court imposing the fine may recommend to the Minister that all or a portion of the fine credited to the Environmental Damages Fund be paid to a person or an organization specified by the court for a purpose referred to in subsection (1).,26.1,4
Canada National Marine Conservation Areas Act,Federal,Act,Orders of court,(d) directing the person to prepare and implement a pollution prevention plan or an environmental emergency plan;,27,4
Canada National Marine Conservation Areas Act,Federal,Act,Orders of court,"(e) directing the person to carry out, in the manner established by the Minister, monitoring of the environmental effects of any activity or undertaking on the resources of a marine conservation area or directing the person to pay, in the manner specified by the court, an amount for that purpose;",27,4
Canada National Marine Conservation Areas Act,Federal,Act,Orders of court,(f) directing the person to implement an environmental management system approved by the Minister;,27,4
Canada National Marine Conservation Areas Act,Federal,Act,Orders of court,(g) directing the person to have an environmental audit conducted by a person of a class and at the times specified by the Minister and directing the person to remedy any deficiencies revealed during the audit;,27,4
Canada National Marine Conservation Areas Act,Federal,Act,Orders of court,"(q) directing the person to pay, in the manner prescribed by the court, an amount to environmental or other groups to assist in their work related to the marine conservation area where the offence was committed;",27,4
Canada National Marine Conservation Areas Act,Federal,Act,Orders of court,"(r) directing the person to pay, in the manner prescribed by the court, an amount to an educational institution including for scholarships for students enrolled in studies related to the environment; and",27,4
Canada National Marine Conservation Areas Act,Federal,Act,Pollution clean-up,"29 (1) Where a substance that is capable of degrading the environment or injuring any animal, fish or plant is discharged or deposited within a marine conservation area, any person who has charge, management or control of the substance or who causes or contributes to the discharge or deposit shall take reasonable measures to prevent or mitigate such degradation or injury.",29,2
Canada National Marine Conservation Areas Act,Federal,Act,Exception,"(4) No measures may be directed to be taken under subsection (2) to prevent or mitigate any degradation or injury if action may be taken under the Canada Shipping Act, 2001, the Arctic Waters Pollution Prevention Act or the Canadian Environmental Protection Act, 1999, to prevent or mitigate the same degradation or injury.",29,4
Canada National Marine Conservation Areas Act,Federal,Act,Exception,"All that part of the Pacific Ocean and Hecate Strait, the bays, the inlets, the sounds, the coves, Burnaby Strait, the harbours, the passages and Houston Stewart Channel being the foreshore and land covered by water lying below the ordinary high water mark (O.H.W.M.) of the Queen Charlotte Islands and more particularly described as follows:",30 to 41,2
Canada National Marine Conservation Areas Act,Federal,Act,Exception,"Thence generally southerly and westerly along the O.H.W.M. of Tangil Peninsula following Laskeek Bay, Logan Inlet and Crescent Inlet to the straight line running from the northeast corner of District Lot 663 to the peak at the intersection of the northerly boundary of the watershed of Crescent Inlet with the watershed boundary separating those waters that flow into Dana Inlet from those that flow into Logan Inlet, said peak being at approximate latitude 52?46'37? and approximate longitude 131?49'09?;",30 to 41,2
Canada National Marine Conservation Areas Act,Federal,Act,Exception,"Explanatory Note: All latitudes and longitudes described in the preceding description are referred to the North American Datum of 1927; all topographic features are according to the Gazetteer of Canada (British Columbia), Third Edition, Ottawa 1985, and to the following National Topographic Series (NTS) maps: Edition 2 of Moresby Island (103 BC) produced at a scale of 1:250,000 by the Army Survey Establishment at Ottawa, Edition 3 of Tasu Head (103 C/9), Louise Island (103 B/13 & 103 B/14), Darwin Sound (103 B/12), Ramsay Island (103 B/11), Gowgaia Bay (103 B/5), Burnaby Island (103 B/6), Kunghit Island (103 B/3), Cape St. James (102 O/14 & 102 O/15) and Edition 2 of Lyman Point (103 B/2W) produced at a scale of 1:50,000 by the Department of Energy, Mines and Resources at Ottawa; and to Canadian Hydrographic Service (CHS) Chart LC 3853 produced at a scale of 1:150,000 by the Department of Fisheries and Oceans at Ottawa.",30 to 41,2
Canada National Parks Act,Federal,Act,No disposition or use without authority,Wilderness areas,13,4
Canada National Parks Act,Federal,Act,Wilderness areas,"14 (1) The Governor in Council may, by regulation, declare any area of a park that exists in a natural state or that is capable of returning to a natural state to be a wilderness area.",14,4
Canada National Parks Act,Federal,Act,Maintaining character,(2) The Minister may not authorize any activity to be carried on in a wilderness area that is likely to impair the wilderness character of the area.,14,4
Canada National Parks Act,Federal,Act,Exceptions,"(3) Notwithstanding subsection (2) but subject to any conditions that the Minister considers necessary, the Minister may authorize activities to be carried on in a wilderness area for purposes of",14,4
Canada National Parks Act,Federal,Act,Exceptions,(e) access by air to remote parts of the wilderness area.,14,4
Canada National Parks Act,Federal,Act,Time limit for declaration,"(4) Where a new or amended management plan sets out an area of a park for declaration as a wilderness area, the Minister shall recommend such declaration to the Governor in Council within one year after the plan or amendment is tabled under section 11.",14,4
Canada National Parks Act,Federal,Act,Regulations,"(c) the protection of fauna, the taking of specimens of fauna for scientific or propagation purposes, and the destruction or removal of dangerous or superabundant fauna;",16,3
Canada National Parks Act,Federal,Act,Regulations,(d) the management and regulation of fishing;,16,2
Canada National Parks Act,Federal,Act,Regulations,(e) the prevention and remedying of any obstruction or pollution of waterways;,16,2
Canada National Parks Act,Federal,Act,Regulations,"(i) the establishment, operation, maintenance and administration of works and services of a public character, such as water, sewage, electricity, telephone, gas, fire protection, garbage removal and disposal and cemeteries, including the designation, granting and maintenance of plots in cemeteries, and respecting the use of those works and services;",16,4
Canada National Parks Act,Federal,Act,Regulations,"(m) the control of the location, standards, design, materials, construction, maintenance, removal and demolition of buildings, structures, facilities, signs and other improvements and the establishment of zones governing uses of land and buildings;",16,3
Canada National Parks Act,Federal,Act,Regulations,(o) the preservation of public health and the prevention of disease;,16,3
Canada National Parks Act,Federal,Act,No new establishments,Resource harvesting in certain parks,16,2
Canada National Parks Act,Federal,Act,Resource harvesting in certain parks,17 (1) The Governor in Council may make regulations respecting the exercise of traditional renewable resource harvesting activities in,17,2
Canada National Parks Act,Federal,Act,Land claims agreements,"(2) Where an agreement for the settlement of an aboriginal land claim that is given effect by an Act of Parliament makes provision for traditional renewable resource harvesting activities or stone removal activities for carving purposes within any area of a park, or where aboriginal people have existing aboriginal or treaty rights to traditional renewable resource harvesting activities within any area of a park, the Governor in Council may make regulations respecting the carrying on of those activities in that area.",17,2
Canada National Parks Act,Federal,Act,Land claims agreements,Regulations respecting resource harvesting,17,2
Canada National Parks Act,Federal,Act,Regulations respecting resource harvesting,(a) specify what are traditional renewable resource harvesting activities;,17,2
Canada National Parks Act,Federal,Act,Regulations respecting resource harvesting,(c) prohibit the use of renewable resources harvested in parks for other than traditional purposes;,17,2
Canada National Parks Act,Federal,Act,Regulations respecting resource harvesting,(d) control traditional renewable resource harvesting activities;,17,2
Canada National Parks Act,Federal,Act,Regulations respecting resource harvesting,"(e) authorize the removal and disposal of any equipment or harvested resources left in a park in contravention of the regulations, and provide for the recovery of expenses incurred in their removal and disposal; and",17,2
Canada National Parks Act,Federal,Act,Regulations respecting resource harvesting,"(i) to close areas of the park to traditional renewable resource harvesting activities for purposes of park management, public safety or the conservation of natural resources,",17,2
Canada National Parks Act,Federal,Act,Regulations respecting resource harvesting,"(ii) to establish limits on the renewable resources that may be harvested in any period, or to vary any such limits established by the regulations, for purposes of conservation, and",17,2
Canada National Parks Act,Federal,Act,Limitations must be specified,Right of passage,20,2
Canada National Parks Act,Federal,Act,Definitions,"wildlife[Repealed, 2009, c. 14, s. 35]",26,3
Canada National Parks Act,Federal,Act,Deeming - second and subsequent offence,"(3) For the purposes of sections 24 to 26, a conviction for a particular offence under this Act is deemed to be a conviction for a second or subsequent offence if the court is satisfied that the offender has been previously convicted - under any Act of Parliament, or any Act of the legislature of a province, that relates to environmental or wildlife protection or conservation, or the protection of cultural, historical or archaeological resources - of a substantially similar offence.",27,3
Canada National Parks Act,Federal,Act,Aggravating factors,"(h) the offender has a history of non-compliance with federal or provincial legislation that relates to environmental or wildlife protection or conservation or the protection of cultural, historical or archaeological resources; and",27.7,3
Canada National Parks Act,Federal,Act,Application of fines,"29.1 (1) All fines received by the Receiver General in respect of the commission of an offence under this Act, other than fines collected under the Contraventions Act, are to be credited to the Environmental Damages Fund, an account in the accounts of Canada, and used for purposes related to protecting, conserving or restoring parks or for administering that Fund.",29.1,4
Canada National Parks Act,Federal,Act,Recommendations of court,(2) The court imposing the fine may recommend to the Minister that all or a portion of the fine credited to the Environmental Damages Fund be paid to a person or organization specified by the court for a purpose referred to in subsection (1).,29.1,4
Canada National Parks Act,Federal,Act,Orders of court,(e) directing the person to prepare and implement a pollution prevention plan or an environmental emergency plan;,30,4
Canada National Parks Act,Federal,Act,Orders of court,"(f) directing the person to carry out, in the manner established by the Minister, monitoring of the environmental effects of any activity or undertaking on park resources or directing the person to pay, in the manner specified by the court, an amount for that purpose;",30,4
Canada National Parks Act,Federal,Act,Orders of court,(g) directing the person to implement an environmental management system approved by the Minister;,30,4
Canada National Parks Act,Federal,Act,Orders of court,(h) directing the person to have an environmental audit conducted by a person of a class and at the times specified by the Minister and directing the person to remedy any deficiencies revealed during the audit;,30,4
Canada National Parks Act,Federal,Act,Orders of court,"(q) directing the person to pay, in the manner prescribed by the court, an amount to environmental or other groups to assist in their work related to the park;",30,4
Canada National Parks Act,Federal,Act,Orders of court,"(r) directing the person to pay, in the manner prescribed by the court, an amount to an educational institution including for scholarships for students enrolled in studies related to the environment; and",30,4
Canada National Parks Act,Federal,Act,Pollution clean-up,"32 (1) Where a substance that is capable of degrading the natural environment, injuring fauna, flora or cultural resources or endangering human health is discharged or deposited in a park, any person who has charge, management or control of the substance shall take reasonable measures to prevent any degradation of the natural environment and any danger to the fauna, flora or cultural resources or to persons that may result from the discharge or deposit.",32,3
Canada National Parks Act,Federal,Act,Contents of community plan,(b) accord with any guidelines established by the Minister for appropriate activities within the park community;,33,2
Canada National Parks Act,Federal,Act,Contents of community plan,"(i) no net negative environmental impact, and",33,4
Canada National Parks Act,Federal,Act,Contents of community plan,(ii) responsible environmental stewardship and heritage conservation.,33,4
Canada National Parks Act,Federal,Act,Elements to be included,(b) a description of the lands comprising the commercial zones of the park community; and,33,3
Canada National Parks Act,Federal,Act,Elements to be included,(c) a measure of the maximum floor area permitted within the commercial zones of the park community.,33,3
Canada National Parks Act,Federal,Act,Amendment of Schedule 4,"(4) Subject to section 34, the Governor in Council may, by order, add the description of a park community, the description of its commercial zones and a measure of their maximum floor area referred to in subsection (3) to columns 2, 3 and 4, respectively, of Schedule 4, opposite the name of the community set out in column 1 of that Schedule, but any description or measure so added is not subject to amendment by the Governor in Council.",33,3
Canada National Parks Act,Federal,Act,"Leases, licences, etc.","(5) No lease or licence of occupation may be granted, and no permit, licence or other authorization may be issued, authorizing a commercial use of lands within a commercial zone of a park community if the maximum floor area for commercial zones specified for that park community in Schedule 4 would be exceeded as a result of that use.",33,3
Canada National Parks Act,Federal,Act,Designation of ski areas,Wildlife Advisory Board,36,3
Canada National Parks Act,Federal,Act,Wildlife Advisory Board,"37 (1) The Governor in Council may, by order, constitute a Wildlife Advisory Board for the traditional hunting grounds of Wood Buffalo National Park of Canada.",37,3
Canada National Parks Act,Federal,Act,Wildlife Advisory Board,"Hunting, trapping and fishing permits",37,2
Canada National Parks Act,Federal,Act,"Hunting, trapping and fishing permits","(2) Notwithstanding any regulations made under section 17, permits for hunting, trapping and fishing by members of the Cree Band of Fort Chipewyan in the traditional hunting grounds of Wood Buffalo National Park of Canada shall be issued in accordance with regulations of the Wildlife Advisory Board.",37,2
Canada National Parks Act,Federal,Act,Regulations,"(3) The Wildlife Advisory Board may, subject to the approval of the Governor in Council, make regulations respecting",37,3
Canada National Parks Act,Federal,Act,Regulations,"(a) the issuance, amendment and revocation, by the superintendent of the Park, of permits for hunting, trapping and fishing by members of the Cree Band of Fort Chipewyan in the traditional hunting grounds of the Park;",37,2
Canada National Parks Act,Federal,Act,Application of Act,Aboriginal resource harvesting,39,2
Canada National Parks Act,Federal,Act,Aboriginal resource harvesting,40 The application of this Act to a park reserve is subject to the carrying on of traditional renewable resource harvesting activities by aboriginal persons.,40,2
Canada National Parks Act,Federal,Act,Agreement re Gwaii Haanas,Resource harvesting and cultural activities,41,2
Canada National Parks Act,Federal,Act,Resource harvesting and cultural activities,"(2) For the purpose of implementing an agreement referred to in subsection (1), the Governor in Council may make regulations, applicable in the Gwaii Haanas National Park Reserve of Canada, respecting the continuance of traditional renewable resource harvesting activities and Haida cultural activities by people of the Haida Nation to whom subsection 35(1) of the Constitution Act, 1982 applies.",41,2
Canada National Parks Act,Federal,Act,Aircraft access,Fishing,41.5,2
Canada National Parks Act,Federal,Act,Fishing,"(4) No person shall fish in public lands in Thaidene Nene National Park Reserve of Canada unless the fishing is for personal use and that person holds a fishing permit, as defined in section 2 of the National Parks of Canada Fishing Regulations, that is issued in respect of the park reserve.",41.5,2
Canada National Parks Act,Federal,Act,Fishing,Harvesting game,41.5,2
Canada National Parks Act,Federal,Act,Harvesting game,"(5) No person shall harvest game - including by hunting, within the meaning of section 26, any wild animal - in public lands in Thaidene Nene National Park Reserve of Canada unless",41.5,2
Canada National Parks Act,Federal,Act,Harvesting game,"(a) the person holds a special harvester licence issued under the Wildlife Act, S.N.W.T. 2013, c. 30 and complies with the terms and conditions of that licence, or",41.5,2
Canada National Parks Act,Federal,Act,Harvesting game,"(b) the person held a lease referred to in subsection (7) immediately before the day on which this section comes into force and continues to hold that lease and holds a hunting licence issued under the Wildlife Act, S.N.W.T. 2013, c. 30 and complies with the terms and conditions of that licence.",41.5,3
Canada National Parks Act,Federal,Act,Coming into force,"All latitudes and longitudes hereinafter are referred to the North American Datum of 1927; all topographic features hereinafter are according to Edition 1 of Map Compilation and Reproduction map sheet MCR 219 (Mount Revelstoke and Glacier National Parks) compiled from 1:50,000 National Topographic System Maps 82N/3, 82N/4, 82N/5, 82N/6, 82L/16 and 82M/1 and information supplied by Environment Canada Parks; said MCR map sheet produced at a scale of 1:70,000 by the Surveys and Mapping Branch, Energy, Mines and Resources Canada, 1987;",71,4
Canada National Parks Act,Federal,Act,Coming into force,"Thence northeasterly along the watershed boundary separating the watershed area of Alder Creek from that of Mountain Creek, to the D.L.S. rock post marked N.P.1 (at the end of the ridge); said post as shown on Plan 43227 recorded in the Canada Lands Surveys Records at Ottawa, a copy of which is filed in the Land Title Office at Nelson as D.F. 23534;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence southerly, southeasterly, southerly and westerly along the sinuosities of the easterly boundary of the watershed area of Beaver River through the summits of Heather Mountain, Dauntless Mountain, Dawn Mountain and Moonraker Peak to Standard B.C. pipe post #1 at the summit of Copperstain Mountain as shown on Plan 76890 in said records, a copy of which is filed in said office as NEP 21973;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence southerly and westerly along the sinuosities of the boundary of the watershed area of Beaver River and through monuments placed on said boundary at stations 557, 534, 518, 508, 502, 580 and 593, to a Standard B.C. rock post at station 593; said stations as shown on Plan 66542 in said records, a copy of which is filed in said office as B101;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence continuing westerly and northerly along the sinuosities of the boundary of the watershed area of Beaver River around the head of said watershed area through the summits of Mount Duncan, Beaver Mountain, Sugarloaf Mountain and Grand Mountain to the summit of Mount Wheeler at approximate latitude 51?06' and approximate longitude 117?23';",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence westerly along the summit of the ridge running from Hope Peak to its intersection with the westerly boundary of the watershed area of Incomappleux River; said intersection situated at the summit of Charity Peak at approximate latitude 51?04' and approximate longitude 117?39';,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence westerly and northerly along the sinuosities of the westerly boundary of the watershed area of Incomappleux River running through the summits of Faith Peak, Virtue Mountain, Patience Mountain and Fortitude Mountain to its intersection with the boundary separating the watershed area of Illecillewaet River from that of Incomappleux River; said intersection shown as Summit 7631 Glacier Park Map 1923, 7641 Glacier Park Map 1934 on Plan 39230 in said records;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence generally northerly and northwesterly along the sinuosities of the easterly boundary of the watershed area of Tangier River running through the summits of Fidelity Mountain and Mount Carson to the summit of Sorcerer Mountain at approximate latitude 51?27' and approximate longitude 117?55';,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence generally northeasterly, southeasterly and easterly along the sinuosities of the westerly and northerly boundaries of the watershed area of Mountain Creek running through the summit of Nordic Mountain to the point of commencement;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence southerly in a straight line to the summit of a peak on the height of land which divides the watershed area of Kicking Horse River from that of Vermilion River, the last aforesaid summit being in approximate latitude 51?12'10? and approximate longitude 116?21'27? as said summits and lines are shown on the Lake Louise and Mount Goodsire map sheets, numbers 82N/8W and 82N/1W respectively, of the National Topographical System, copies of which are of record numbers 51112 and 51113 respectively in the Canada Lands Surveys Records at Ottawa;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence in a general southwesterly direction and following the crest of the spur ridge which divides the watershed of Moose Creek from that of Ice River throughout all its sinuosities to the summit of a peak marked 9687;,71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence following said right bank of Ice River downstream to its confluence with Beaverfoot River;,71,2
Canada National Parks Act,Federal,Act,Coming into force,"Thence following the right bank of said Beaverfoot River downstream to its intersection with the north boundary of Township twenty-five, Range nineteen West of the fifth Meridian or said boundary produced easterly;",71,2
Canada National Parks Act,Federal,Act,Coming into force,Thence north along said east boundary of Township twenty-six to its intersection with the summit of a well defined ridge dividing the watershed of Porcupine Creek from that part of Kicking Horse River which lies west of said east boundary;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence in a general northerly direction along the summit of the height of land which forms the westerly boundary of the watershed area of that part of Kicking Horse River which lies upstream from the east boundary of said Township twenty-six, and following all the sinuosities of said height of land to its intersection with the summit of Mount Rhondda which mountain is also a point of the summit of the Rocky Mountains forming the easterly boundary of the Province of British Columbia;",71,2
Canada National Parks Act,Federal,Act,Coming into force,Thence westerly and southwesterly following the right bank of Maunder Creek and its southwesterly production to the easterly limit of the watershed of La Forme Creek;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence southerly and westerly along the easterly and southerly limits of the watershed of La Forme Creek to and along the southerly limit of the watershed of Martha Creek to the north boundary of Section 13, Township 25, Range 2, West of the 6th Meridian;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence in a general south-southeasterly direction along the height of land which divides the watershed area of Simpson River and Verdant Creek to the summit of Monarch Mountain;,71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence in a general southwesterly direction along the line of local watershed to the summit of Mount Shanks on Hawk Ridge;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence southerly along a sharply defined line of watershed division to a camera station marked 8032 on the map of Kootenay Park, which camera station is on the point of a long ridge leading northwesterly from Octopus Mountain;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence in a general southwesterly direction along a well-defined line of watershed division to intersect the crest of Mitchell Range;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence in a general westerly direction along a well-defined line of local watershed to a peak on the crest of Stanford Range, said peak being marked 8609 on the map of Kootenay Park;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence southwesterly across the summit of Kimpton Pass along the line of watershed between Kimpton and Shuswap Creek to a camera station marked 8335 on the map of Kootenay Park;,71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence southerly and westerly along the line of watershed between Stoddart and Shuswap Creeks to a wooden post in an earth mound planted at the intersection of said line of watershed with the north boundary of District Lot numbered 4596;,71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence in a general northeasterly direction and following the line of local watershed to a camera station marked 8170 on the map of Kootenay Park;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence in a general east-northeasterly direction and following the height of land which divides the watershed areas of Sinclair and Kindersley Creeks to a camera station marked 8807 on the map of Kootenay Park, which camera station is a point on the crest of the Brisco Range;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence northerly and easterly along a well-defined ridge forming the southerly confine of the Boyce Creek watershed area to the point of intersection of said ridge with the southerly production of a straight line having a bearing of 218?49' more or less from a stone cairn erected at a point on the west boundary of Group Lot 12053 distant 743.094 metres more or less south from the northwest corner of said Lot to a stone cairn distant 1102.22 metres more or less on said bearing from the first above mentioned cairn;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence in a general northwesterly direction along the crest of the Vermilion Range to the summit of a peak on the height of land which divides the watershed area of Kicking Horse River from that of Vermilion River, at approximate latitude 51?12'10? and longitude 116?21'27?, the last aforementioned summit, and all summits hereinafter, being on the southeasterly boundary of Yoho National Park and being shown on map sheets 82N/8W and 82N/1W of the National Topographical System, copies of which are of record numbers 51112 and 51113 respectively in the Canada Lands Surveys Records at Ottawa;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Commencing at the point of junction of the Interprovincial Boundary between Alberta and British Columbia and the height of land that divides the watershed area of Spray River from that of Kananaskis River which said point occurs on Mount Sir Douglas in latitude 50?43', and longitude 115?20';",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence northerly along the last aforesaid line a distance of 6366.4 metres, more or less, to said southernmost summit which is on the height of land that divides the watershed area of Spray River from that of Bow River;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence northwesterly following the height of land that divides the watershed area of Spray River from that of Bow River to the summit of Mount Rundle in latitude 51?07'20? and longitude 115?28';,71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence northeasterly following the height of land which bounds the watershed area of Carrot Creek to the point at which it becomes the height of land that divides the watershed area of Lake Minnewanka from that of the South Fork of Ghost River;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence northwesterly on a line having a bearing designated 347?37.8' to Devil's Fang Mountain on the height of land that forms part of the southerly limit of the watershed area of Ghost River, as the last aforesaid line is shown on the last aforesaid plan;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence northerly along the height of land that forms the easterly limit of the watershed area of Dormer River to its intersection with a line having a bearing designated 135?00.7' from a cairn and park standard on the apparent summit of Dormer Mountain, as the last aforesaid line, cairn and standard are shown on Plan 39225 in said records;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence northwesterly following the height of land that forms the easterly and northerly limit of the watershed of Tyrrell Creek, the northerly limit of the watershed of Divide Creek and the easterly limit of the watershed of Peters Creek to the summit of Condor Peak;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence crossing Clearwater River to its left bank and following the said bank upstream to its intersection with a line having a bearing designated 329?23' and passing through a cairn and park standard in latitude 51?50'48.2? and longitude 115?59'00.8?, as the last aforesaid line, cairn and standard are shown on Plan 39228 in said records;",71,2
Canada National Parks Act,Federal,Act,Coming into force,"Thence continuing approximately on the last aforesaid bearing along a line to a camera station numbered 265A, said station being a point on the height of land forming the easterly limit of the watershed area of Indianhead Creek, as said station and the last aforesaid line are shown on the last aforesaid plan;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence northwesterly along the last aforesaid height of land to its junction with the height of land between the watershed area of Clearwater River and the watershed areas of Ram and Siffleur Rivers;,71,2
Canada National Parks Act,Federal,Act,Coming into force,"Thence westerly following a high rocky height of land through camera stations 306, 303 and 304 to camera station 308, the last aforesaid station being on the height of land forming the easterly limit of the watershed area of Mistaya River;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence northwesterly along the last aforesaid height of land to camera station 425 situate at the junction to the last aforesaid height of land with the height of land enclosing the watershed area of Murchison Creek;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence along said line having a bearing of 334?57'30? a distance of 2878.5 metres, more or less, to a cairn and park standard on the height of land forming the easterly limit of the watershed of Owen Creek, as the last aforesaid line, cairn and standard are shown on the last aforesaid plan;",71,3
Canada National Parks Act,Federal,Act,Coming into force,Thence northerly following the last aforesaid height of land to its junction with the height of land forming the easterly limit of the watershed of North Saskatchewan River;,71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence southwesterly and northwesterly and continuing along the height of land forming the easterly limit of the watershed area of the North Saskatchewan River to a stone cairn erected by H.F. Lambert, Dominion Land Surveyor, in 1935, at the summit of Nigel Pass, as the last aforesaid cairn is shown on Plan 39221 in said records;",71,3
Canada National Parks Act,Federal,Act,Coming into force,"Thence westerly, southeasterly and southwesterly along the height of land between the watershed areas of North Saskatchewan and Athabasca Rivers to a cairn and park standard marking the northeasterly extremity of a line having a bearing designated as 58?42.2', as the last aforesaid line, cairn and standard are shown on Plan 39222 in said records, the last aforesaid cairn and standard being on a well defined ridge overlooking Sunwapta Pass;",71,2
Canada National Parks Act,Federal,Act,Coming into force,"Thence southwesterly along a line having a bearing designated as 235?06' a distance of 813.2 metres, more or less, to a cairn and park standard, as the last aforesaid line, cairn and standard are shown on the last aforesaid Plan 39222, the last aforesaid cairn and standard being on a well defined ridge of said height of land between the watershed areas of North Saskatchewan and Athabasca Rivers on the westerly side of Sunwapta Pass;",71,2
